earn,white,educ,exper,lnearn,age,fed,med,kww,iq
307.57199,1,12,13,5.7287092,31,8,8,35,93
403.77289,1,18,13,6.0008526,37,14,14,41,119
329.87354,1,14,13,5.7987094,33,14,14,46,108
260.00723,1,12,14,5.5607095,32,12,12,32,96
224.91206,1,11,17,5.4157095,34,11,6,27,74
559.87256,0,16,13,6.3277092,35,0,8,43,116
240.01683,1,10,14,5.4807091,30,8,8,24,91
432.55493,1,18,14,6.0697093,38,0,8,50,114
519.30554,1,15,15,6.2524924,36,5,14,37,111
400.0979,1,12,18,5.9917092,36,11,12,44,95
399.82611,1,18,14,5.9910297,38,14,13,44,132
350.16907,1,14,13,5.8584161,33,0,16,45,102
404.84018,1,15,9,6.0034924,30,12,12,40,125
500.90472,1,16,6,6.2164159,28,10,10,24,119
716.7373,1,16,12,6.5747094,34,12,12,47,118
479.07281,1,10,19,6.1718526,35,8,6,37,105
611.85327,1,15,15,6.4164925,36,10,12,39,109
339.91962,1,11,21,5.8287091,38,8,10,36,72
365.40985,1,14,9,5.9010196,29,0,12,29,105
207.26936,1,12,13,5.3340192,31,0,8,34,101
510.15228,1,14,11,6.2347093,31,0,12,37,123
807.42719,1,16,14,6.6938529,36,12,12,49,113
567.48657,1,12,20,6.341217,38,10,10,36,95
961.49768,1,16,16,6.8684921,38,12,12,50,145
399.98056,1,16,10,5.991416,32,11,11,35,114
961.19238,1,16,7,6.8681746,29,16,16,32,124
475.18735,1,13,16,6.1637092,35,8,12,40,93
320.12424,1,18,11,5.7687092,35,8,8,39,115
679.95789,1,17,11,6.5220308,34,12,13,41,125
254.09526,1,18,12,5.5377092,36,16,16,35,128
400.0979,1,12,16,5.9917092,34,0,8,40,103
711.83984,1,14,15,6.567853,35,12,12,41,98
2000.8311,1,13,13,7.6013179,32,12,12,41,108
499.85486,1,18,14,6.2143178,38,18,18,40,129
711.73767,1,17,9,6.5677094,32,14,17,42,132
312.84549,1,13,12,5.7457094,31,0,8,24,92
550.14276,0,14,8,6.3101778,28,8,12,39,108
509.64243,1,13,12,6.2337093,31,12,15,35,106
249.92923,1,16,7,5.5211778,29,12,13,37,105
432.55493,1,18,12,6.0697093,36,12,12,46,123
276.91461,1,12,20,5.6237092,38,7,8,48,108
500.90472,1,17,10,6.2164159,33,8,12,47,122
557.51672,1,12,20,6.3234925,38,0,12,44,109
277.17987,1,13,19,5.6246667,38,9,10,40,100
961.18134,1,18,10,6.8681631,34,15,14,50,125
392.56778,1,14,15,5.9727092,35,0,12,41,122
307.8797,1,17,7,5.7297091,30,12,12,34,105
577.00616,1,16,11,6.3578529,33,12,12,37,94
462.06671,1,12,16,6.1357093,34,0,12,36,102
484.52771,1,13,19,6.1831746,38,10,12,47,109
439.97131,1,12,20,6.0867095,38,12,12,45,105
461.60492,1,18,13,6.1347094,37,12,12,46,134
699.7403,1,12,11,6.5507092,29,9,12,32,108
500.12238,1,16,8,6.2148528,30,11,12,36,104
184.69568,1,12,11,5.2187095,29,0,12,35,112
422.91153,1,18,8,6.047163,32,8,11,49,120
437.40213,1,16,9,6.080853,31,16,17,40,124
549.88495,1,12,11,6.3097091,29,10,12,34,103
653.59796,1,17,7,6.4824924,30,14,12,45,115
320.12424,1,12,17,5.7687092,35,8,6,33,96
961.18134,1,17,13,6.8681631,36,12,12,48,123
460.22205,1,12,11,6.1317091,29,8,12,34,98
419.83115,1,12,17,6.0398526,35,8,12,34,96
439.87564,1,12,20,6.0864921,38,0,12,47,89
385.17938,1,12,19,5.9537091,37,7,0,43,109
259.95258,1,12,10,5.5604992,28,11,9,20,93
265.11786,1,12,15,5.5801744,33,9,12,32,82
240.01683,1,15,17,5.4807091,38,0,12,45,120
519.26593,1,12,14,6.2524161,32,0,12,38,122
788.41974,1,18,9,6.6700306,33,18,12,48,117
582.13898,1,16,14,6.3667092,36,8,8,44,109
923.99725,1,18,14,6.8287091,38,16,12,55,114
757.09766,1,16,9,6.6294923,31,16,12,40,126
494.08582,1,12,15,6.2027092,33,11,11,45,82
384.71094,1,16,10,5.9524922,32,9,12,45,119
450.11334,1,16,13,6.1094995,35,6,12,37,104
416.00998,1,15,14,6.0307093,35,11,0,49,115
500.12238,1,12,18,6.2148528,36,12,12,45,97
270.07755,1,15,10,5.5987091,31,12,14,27,105
406.9733,1,12,12,6.0087476,30,7,7,32,100
498.12579,1,12,13,6.2108526,31,10,12,41,114
292.86432,1,10,20,5.6797094,36,0,0,28,73
479.96317,1,11,20,6.1737094,37,8,8,48,96
508.27728,1,15,8,6.2310271,29,16,12,30,113
377.34622,1,10,20,5.9331632,36,10,14,38,106
301.48169,1,13,13,5.7087092,32,0,8,37,104
300.11865,1,10,17,5.7041779,33,12,0,39,80
416.0697,1,13,11,6.0308528,30,8,12,30,104
254.93776,1,13,11,5.5410194,30,16,16,36,122
409.81412,1,12,16,6.0157037,34,13,12,38,96
