Named Entities:
  51 Alice
  33 Hatter
  27 Dormouse
  22 March
  21 Hare
  13 The
  10 It
   7 You
   6 Then
   5 Why
   5 But
   5 And
   4 What
   4 There
   4 Of
   4 No
   4 He
   3 Yes
   3 Time
   3 They
   3 Not
   2 Twinkle
   2 This
   2 That
   2 Queen
   2 Once
   2 Now
   2 Is
   2 If
   2 How
   2 Have
   2 Exactly
   1 Your
   1 Who
   1 Which
   1 Where
   1 Well
   1 We
   1 Wake
   1 Very
   1 Up
   1 Two
   1 Treacle
   1 Tillie
   1 Tell
   1 Tea
   1 Take
   1 Suppose
   1 So
   1 Sh
   1 Really
   1 Perhaps
   1 Party
   1 One
   1 Off
   1 Nor
   1 Nobody
   1 Mad
   1 Like
   1 Lacie
   1 Just
   1 However
   1 Here
   1 Hearts
   1 Half
   1 For
   1 English
   1 Elsie
   1 Does
   1 Do
   1 Come
   1 At
   1 Ah

Sentiment Expressions:
   1 afraid
