Named Entities:
  35 Alice
  24 Caterpillar
  11 Pigeon
  10 And
   8 You
   6 Well
   5 It
   4 What
   4 This
   4 In
   3 Yet
   3 Why
   3 She
   3 Serpent
   3 Come
   3 But
   3 As
   2 Who
   2 The Caterpillar
   2 That
   2 So
   2 Pray
   2 One
   2 Not
   2 No
   2 However
   2 How
   2 For
   2 Father William
   2 Do
   1 Whoever
   1 Which
   1 Ugh
   1 There
   1 Then
   1 The
   1 Said
   1 Repeat
   1 Oh
   1 Of
   1 Let
   1 Keep
   1 Is
   1 Here
   1 Her
   1 Has
   1 Father
   1 Explain
   1 Can
   1 By
   1 Be
   1 Are
   1 Allow
   1 After
   1 Advice
