Named Entities:
  23 The
  23 He
  18 Harker
  17 We
  15 Mina
  14 Professor
  12 Van Helsing
  11 There
  11 It
  11 God
  10 She
  10 Oh
   9 Count
   7 You
   7 Then
   7 His
   7 As
   6 What
   6 The Professor
   6 Quincey
   6 Madam Mina
   6 But
   5 When
   5 This
   5 Mrs
   5 Jonathan
   5 Godalming
   5 For
   5 Dr
   5 Do
   4 With
   4 That
   4 Morris
   4 In
   4 All
   3 Why
   3 Vampire
   3 So
   3 See
   3 Quincey Morris
   3 October
   3 Now
   3 Mr
   3 Lord Godalming
   3 Just
   3 If
   3 Hush
   3 Carfax
   3 Arthur
   3 And
   2 Where
   2 Well
   2 Van
   2 To
   2 They
   2 Seward
   2 Lucy
   2 London
   2 Let
   2 Is
   2 Instinctively
   2 However
   2 Helsing
   2 Have
   2 Go
   2 By
   2 Before
   2 Because
   2 Be
   1 Your
   1 Without
   1 Whilst
   1 Which
   1 Wafer
   1 True
   1 Time
   1 Through
   1 Think
   1 Thank God
   1 Tally Ho
   1 Surely God
   1 Suddenly
   1 Stay
   1 South
   1 Soldier
   1 Sleep
   1 Scholomance
   1 Raising
   1 Port
   1 Poor
   1 Pesth
   1 Perhaps
   1 Our
   1 One
   1 Once
   1 On
   1 Notwithstanding
   1 No
   1 My
   1 Mile End
   1 May God
   1 March
   1 Madam
   1 Lord Arthur
   1 Looking
   1 Look
   1 Life
   1 Lay
   1 Last
   1 Kukri
   1 Journal
   1 Jonathan Harker
   1 John
   1 How
   1 Her
   1 Hell
   1 Hear
   1 Gradually
   1 Don
   1 Devil
   1 Destroyed
   1 Death
   1 Crucifix
   1 But God
   1 Buda
   1 Bermondsey
   1 Believe
   1 Bah
   1 Ask
   1 Arminus
   1 Amid
   1 Already
   1 Alas
   1 Ah
   1 After
   1 About
