Named Entities:
  14 The
   9 But
   4 You
   4 Who
   4 They
   4 Safie
   4 My
   4 Felix
   4 At
   4 Agatha
   3 What
   3 These
   3 It
   3 God
   3 French
   3 Do
   2 Werter
   2 This
   2 Satan
   2 One
   2 No
   2 Many
   2 He
   2 De Lacey
   2 Creator
   2 As
   1 Yet
   1 Why
   1 Where
   1 Whence
   1 When
   1 To
   1 Theseus
   1 Their
   1 That
   1 Such
   1 Soon
   1 Solon
   1 Several
   1 Save
   1 Romulus
   1 Rely
   1 Plutarch
   1 Pardon
   1 Paradise
   1 Numa
   1 Now
   1 Near
   1 May
   1 Lycurgus
   1 Like Adam
   1 Induced
   1 Increase
   1 In
   1 If
   1 How
   1 Here
   1 Heaven
   1 Hateful
   1 Great God
   1 Germans
   1 From
   1 Fortunately
   1 Excellent
   1 Everything
   1 Even
   1 Eve
   1 Enter
   1 Could
   1 Come
   1 By
   1 Besides
   1 Autumn
   1 August
   1 Are
   1 Another
   1 All
   1 Again
   1 Adam
   1 Accursed
