file;speaker;gender;s;nSeg_tier1;rateSeg_tier1;meanSeg_tier1;nCon_tier2;rateCon_tier2;meanCon_tier2;meanConLn_tier2;deltaCon_tier2;deltaConLn_tier2;varcoCon_tier2;rPVI_Con_tier2;nPVI_Con_tier2;nVof_tier2;rateVof_tier2;meanVof_tier2;meanVofLn_tier2;deltaVof_tier2;deltaVofLn_tier2;varcoVof_tier2;rPVI_Vof_tier2;nPVI_Vof_tier2;nC_tier3;rateC_tier3;meanC_tier3;meanCLn_tier3;deltaC_tier3;deltaCLn_tier3;varcoC_tier3;rPVI_C_tier3;nPVI_C_tier3;nV_tier3;rateV_tier3;meanV_tier3;meanVLn_tier3;deltaV_tier3;deltaVLn_tier3;varcoV_tier3;rPVI_V_tier3;percentV_tier3;nCV_tier3;rateCV_tier3;meanCV_tier3;meanCVLn_tier3;deltaCV_tier3;deltaCVLn_tier3;varcoCV_tier3;rPVI_CV_tier3;nPVI_CV_tier3
01f_read_002;01;f;002;9;10.556076946267025;0.09473216281865327;6;11.863292140672307;0.084293633516078;-2.7064736784774213;0.057826081278973665;0.8091221986018002;0.6860076955627263;6.979195490303687;97.22728423236234;3;8.649829033396651;0.11560922142380377;-2.2579982085846226;0.05768902533888386;0.5752087310558607;0.49900020628463276;8.23328321444618;67.93921995771306;3;5.9316460703361535;0.168587267032156;-1.8218950789834478;0.05546043883554487;0.36540969911310345;0.3289716940779783;6.927982958686924;41.203064707823955;3;8.649829033396651;0.11560922142380377;-2.2579982085846226;0.05768902533888386;0.5752087310558607;0.49900020628463276;8.23328321444618;67.93921995771306;40.67932790158983;6;7.0373846308446835;0.1420982442279799;-2.0399466437840355;0.05833999968372333;0.49275908402576407;0.41056101713771825;6.632895252709677;50.66179233748933
01f_read_005;01;f;005;14;13.189471827887632;0.0758180473827325;9;12.668651271321552;0.07893500093918705;-2.6676247011542795;0.04652234391026159;0.5156250850082105;0.589375351323594;5.570250278455004;59.878072830239525;5;14.243486219006874;0.07020753098111432;-2.699009036889201;0.021740813181900482;0.33495997763880464;0.3096649729464025;2.2786192318034026;34.27857033976112;5;7.038139595178641;0.1420830016905367;-2.0838056035502754;0.06678951769063284;0.6428085078655079;0.4700739490013272;8.2733979067002;70.2937838168472;5;14.243486219006874;0.07020753098111432;-2.699009036889201;0.021740813181900482;0.33495997763880464;0.3096649729464025;2.2786192318034026;34.27857033976112;33.07143757074841;10;9.421051305634023;0.10614526633582551;-2.3914073202197383;0.060230316055107445;0.5819308873240956;0.5674328977097198;7.471286877286611;62.0035301783919
01f_read_016;01;f;016;24;13.36649291032789;0.07481394010446299;16;13.058864921476301;0.07657633385543514;-2.693115668107707;0.040646459863831225;0.5101529190112312;0.53079662889798;4.363092772731244;52.67859883738777;8;14.027379531015344;0.0712891526025187;-2.8638161238883506;0.04693257801206326;0.7416357357995351;0.658341084144197;5.753372070516023;80.93167439429637;8;6.529432460738151;0.15315266771087027;-1.9969939386041045;0.07217430959635149;0.556832485339289;0.47125727990978244;9.81327488103579;69.18684598997722;8;14.027379531015344;0.0712891526025187;-2.8638161238883506;0.04693257801206326;0.7416357357995351;0.658341084144197;5.753372070516023;80.93167439429637;31.762865094828314;16;8.910995273551928;0.11222091015669447;-2.4304050312462273;0.0724288733105613;0.7757200815161855;0.6454133477391032;9.525470226664517;84.12975414196062
01f_read_017;01;f;017;20;12.368626801346476;0.08084971889451284;12;13.119642969155278;0.07622158639156824;-2.627397623063988;0.02521069216165787;0.3482552730577143;0.3307552801662328;2.791540348716539;37.12903473959294;8;11.39057018891979;0.08779191764892971;-2.6409187951018573;0.05858484203992463;0.7015480453340979;0.6673147552625404;8.83168289961376;90.62262263896128;7;7.653125065340579;0.13066557667125986;-2.1177402443907742;0.059119772240685445;0.43991466341961555;0.4524510107924159;8.38995142295562;62.28998241579738;8;11.39057018891979;0.08779191764892971;-2.6409187951018573;0.05858484203992463;0.7015480453340979;0.6673147552625404;8.83168289961376;90.62262263896128;43.43461862296619;15;9.276470101009856;0.10779962519268378;-2.396768804770019;0.06086202186975228;0.6340464939417577;0.564584726161765;7.35398085729935;68.10641992404382
01f_read_021;01;f;021;18;14.773743753542139;0.06768765024506676;11;16.10112958072828;0.06210744376574158;-2.807837418128236;0.015723074249554013;0.25260046948446996;0.25315925589948124;1.6866299405631315;27.548849911240602;7;13.079324799133142;0.07645654614114919;-2.6367711125072293;0.030040055442558732;0.3919769100387141;0.392903642117193;4.778904881296651;60.62515776124248;6;8.782434316760881;0.11386364690385957;-2.228260615416246;0.04037084896450891;0.3694804847018889;0.3545543293426735;4.87590784452002;43.09747327080398;6;11.210849827828408;0.08919930383134073;-2.5607362744705933;0.055339677248288435;0.5710784140470818;0.6204048111510541;6.897426002946336;76.9836371759026;43.926921926619244;12;9.849162502361425;0.10153147536760014;-2.39449844494342;0.04794543876106027;0.49034793856656034;0.47222241760470085;5.823773748746484;58.864563711443715
01f_read_022;01;f;022;22;12.105258081637777;0.08260873029356392;14;11.066468839046737;0.090363061112287;-2.504997452057871;0.04509923360172163;0.4550050480503137;0.499089263318342;2.336569456407025;28.15117577627567;8;14.484639839992866;0.06903865136079852;-2.742037418985861;0.027625173993234914;0.39808874872816213;0.40014069580914524;3.4307986291186574;46.08689251801791;9;7.114158539387188;0.14056476173022422;-2.081639869622088;0.07706272888708932;0.5116661526464947;0.5482364707805661;8.848938786770395;61.36301591032052;8;14.484639839992866;0.06903865136079852;-2.742037418985861;0.027625173993234914;0.39808874872816213;0.40014069580914524;3.4307986291186574;46.08689251801791;30.39020699384288;17;9.354063063083737;0.10690541567402388;-2.392415186969746;0.06824545041800503;0.5618528443336187;0.6383722469785734;7.827365669415171;67.25828006432772
01f_read_023;01;f;023;13;13.12153420499383;0.07621060040520393;9;12.389364771766925;0.08071438838243067;-2.5386299268933494;0.019023809645613725;0.215505225529244;0.2356929170481665;2.331505922914108;26.75314656270189;4;15.133841242587831;0.06607707745644381;-2.7687109943039836;0.02388489482814285;0.37525197442699904;0.36147020642502103;4.053154065124886;61.14355900199827;4;5.5063843430075226;0.181607373860469;-1.846366246486201;0.10445114382032358;0.6323299651874725;0.5751481429414567;12.707392346882987;78.65911816729853;4;15.133841242587831;0.06607707745644381;-2.7687109943039836;0.02388489482814285;0.37525197442699904;0.36147020642502103;4.053154065124886;61.14355900199827;26.677927138792437;8;8.074790279996202;0.12384222565845639;-2.3075386203950923;0.09345441036247104;0.6890371496526517;0.7546247644176576;10.387586990403332;79.63392512981108
01f_read_026;01;f;026;20;14.482897389238333;0.06904695746467557;12;14.46478106270145;0.06913343490407725;-2.7675294776651924;0.03372288365534213;0.4479545010576778;0.4877941288774771;3.8114964940016973;51.39434774993422;8;14.510157125501982;0.06891724130557303;-2.7637595725016997;0.03522956925322946;0.4257261469845548;0.511186585328113;4.302712209968548;53.92561728254087;7;9.241318152313639;0.10820967133889248;-2.3110392502521626;0.04926148601699703;0.45220313903197434;0.45524106493881916;5.632089613060629;49.38842422225622;8;14.510157125501982;0.06891724130557303;-2.7637595725016997;0.03522956925322946;0.4257261469845548;0.511186585328113;4.302712209968548;53.92561728254087;42.125271918470006;15;11.460830896715551;0.08725370865445543;-2.552490088785249;0.04552228399280875;0.4826114415554537;0.5217231988738423;6.071325418055872;62.14195888741092
01f_read_029;01;f;029;28;12.656160888442463;0.07901290200199608;15;11.718928526376072;0.08533203336373936;-2.5598910852806953;0.038155340586253375;0.4740350577864553;0.4471397092298394;4.344891437012302;50.43543094780608;13;13.94280171691994;0.07172159658459999;-2.7296640146402047;0.03316747704621093;0.45825925830655595;0.46244755590581244;3.7195704719090323;53.34139779996371;10;8.867556050187076;0.11277064326860424;-2.277168823470245;0.04774935080874646;0.4794907222220409;0.4234200446566048;5.803431480647047;52.00669912211438;11;11.797755298932257;0.08476188687270908;-2.5981815602790843;0.053878768117577025;0.49563059734079284;0.6356485220590866;4.836070051809722;52.82556865472896;45.25928615553478;21;10.193743313103989;0.09809938991837344;-2.445318352274875;0.05179693845859896;0.503263373832431;0.5280046950516019;6.544489469045815;64.582427624031
01f_read_030;01;f;030;15;12.361177062419891;0.08089844478000177;8;13.53842562638208;0.07386383229459993;-2.7026666304897997;0.03469938550823708;0.4762899548171549;0.4697750499844278;4.877172468219642;60.232843954672546;7;11.243787566252555;0.0889380019061753;-2.6316930658606523;0.06373493195201524;0.697639629522038;0.7166220354180217;8.64740915340181;83.22219448398674;5;8.4615160164888;0.1181821316713599;-2.21644946284504;0.050684644137753705;0.4594928442829635;0.42886892816163813;7.518991836166758;65.10590566576404;6;9.637532199645047;0.10376100222387119;-2.5851812930239357;0.09234592547328455;0.8605611558769811;0.8899868302548016;9.30227275233724;78.21087698615264;51.30432482653663;11;9.064863179107919;0.1103160610636388;-2.417575915669892;0.0731312316834984;0.7012967158092291;0.6629246093305551;7.850988528314967;70.3731741093223
