Datum,Schwefeldioxid,Kohlenmonoxid,ozon,Stickstoffdioxid,Stickstoffmonoxid,Feinstaub PM10,Lufttemperatur,Luftfeuchte relativ,Luftdruck (hpa),Windgeschwindigkeit (m/s),Regendauer (min)
01.01.2012,1.78,0.31,43.46,26.54,7.83,18.04,8.12,86.9,968.65,2.01,95.6
02.01.2012,1.64,0.24,53.56,17.87,3.51,5.34,6.96,83.94,965.34,2.5,397.1
03.01.2012,1.4,0.24,66.05,19.62,5.85,6.92,6.29,67.19,972.62,2.85,71.47
04.01.2012,1.11,0.22,67.55,13.25,2.59,7.49,6.07,68.98,970.64,3.96,400.9
05.01.2012,0.9,0.2,71.45,10.11,2.23,4.92,5.02,75.59,957.33,5.85,748.32
06.01.2012,1.1,0.24,65.08,17.67,3.2,7.11,3,82.45,967.72,2.56,411.73
07.01.2012,1.15,0.24,55.74,13.24,2.36,7.42,3.43,76.75,973.11,3.06,321.2
08.01.2012,1.26,0.23,54.91,13.93,2.35,8.47,4.66,82.81,972.74,1.95,445.95
09.01.2012,1.59,0.33,48.52,30.9,15.42,14.64,4.81,78.07,979.16,1.7,67.7
10.01.2012,2.28,0.54,45.46,46.11,43.53,18.86,5.31,82.43,982.48,1.37,96.75
11.01.2012,1.57,0.46,25.54,39.41,23.96,18.55,2.61,87.18,983.23,1.09,0
12.01.2012,1.45,0.36,33.12,31.55,14.96,23.99,2,82.68,978.69,1.42,0
13.01.2012,2.36,0.45,37.84,42.94,25.18,20.1,3.21,80.61,976.47,1.13,157.3
14.01.2012,3.94,0.57,52.38,47.62,41.78,23.08,0.37,74.7,974.41,1.7,0
15.01.2012,3.19,0.36,56.31,27.82,8.23,14.58,-0.35,67.37,970.64,2.22,0
16.01.2012,3.14,0.49,38.51,45.21,34,19.71,-1.11,66.81,971.73,1.72,0
17.01.2012,6.07,0.77,25.09,67.34,85.47,41.36,-0.82,71.48,977.65,0.96,0
18.01.2012,8.33,1.01,10.56,82.65,127.78,57.9,0.49,73.39,979.94,0.87,0
19.01.2012,5.67,0.36,52.74,38.42,17.35,20.91,6.63,66.85,975.4,3.31,324.95
20.01.2012,1.88,0.2,64.93,14.97,2.64,6.68,5.34,80.18,968.42,4.74,810.85
21.01.2012,1.36,0.21,60.54,11.27,1.57,2.79,6.21,82.54,966.5,4.85,691.18
22.01.2012,1.49,0.19,70.25,7.65,1.17,2.22,7.66,73.67,965.19,4.26,255.23
23.01.2012,1.57,0.25,64.62,24.02,5.19,9.67,6.62,73.05,967.53,2.41,272.55
24.01.2012,1.72,0.32,57.22,34.77,12.89,11.8,4.25,77.38,969.9,1.83,373.22
25.01.2012,1.8,0.4,50.72,45.26,24.4,13.55,3.04,86.14,969.76,1.14,564.17
26.01.2012,2.25,0.51,20.39,44.96,36.6,30.08,3.15,81.19,967.56,2.02,0.77
27.01.2012,2.36,0.54,28.99,46.77,50.93,20.71,4.11,89.39,971.04,1.38,1121.32
