<article n="1">
<s lang="de" n="1-1">
Christian	NE	Christian
Klucker	NE	Klucker
<s lang="de" n="1-2">
Christian	NE	Christian
Klucker	NE	Klucker
<s lang="de" n="1-3">
1853-1928	CARD	@card@
.	$.	.
<s lang="de" n="1-4">
Eine	ART	ein
biographische	ADJA	biographisch
Studie	NN	Studie
.	$.	.
<s lang="de" n="1-5">
Von	APPR	von
Ernst	NE	Ernst
Jenny	NE	Jenny
.	$.	.
<s lang="de" n="1-6">
Bergfahrer	NN	Bergfahrer
,	$,	,
kommst	VVFIN	hinauf+kommen
du	PPER	du
nach	APPR	nach
Sils	NE	Sils
Maria	NE	Maria
im	APPRART	im
Engadin	NN	Engadin
,	$,	,
so	ADV	so
geh	VVIMP	gehen
in	APPR	in
den	NE	den
Kirchhof	NE	Kirchhof
von	NE	von
Fex	NE	Fex
hinauf	PTKVZ	hinauf
.	$.	.
<s lang="de" n="1-7">
Dort	ADV	dort
findest	VVFIN	finden
du	PPER	du
einen	ART	ein
schönen	ADJA	schön
Granitstein	NN	Granitstein
mit	APPR	mit
der	ART	d
romanischen	ADJA	romanisch
Inschrift	NN	Inschrift
:	$.	:
<s lang="de" n="1-8">
IN	NE	IN
MEMORIA	NE	unk
DA	VVFIN	unk
NOS	NE	Nos
CHRISTIAN	NE	CHRISTIAN
KLUCKER	NE	KLUCKER
GUIDA	NE	unk
1853-1928	CARD	@card@
DA	ADJA	unk
SECZIUN	NN	unk
BERN	NE	Bern
INA	ADJA	unk
DAL	NN	dal
C.A.S.	NE	Schweizer_Alpenclub
ED	ADJA	unk
AMIHS	NN	unk
DAL	NN	dal
A.	NE	A.
C.	NE	C.
D'	NE	D'
INGHILTERRA	NE	INGHILTERRA
<s lang="de" n="1-9">
Nun	ADV	nun
weisst	VVFIN	weissen
du	PPER	du
,	$,	,
wenn	KOUS	wenn
dir	PRF	du
die	ART	d
Geschichte	NN	Geschichte
des	ART	d
Alpinismus	NN	Alpinismus
nur	ADV	nur
ein	ART	ein
wenig	PIS	wenig
vertraut	VVPP	vertrauen
ist	VAFIN	sein
:	$.	:
<s lang="de" n="1-10">
Hier	ADV	hier
ruht	VVFIN	ruhen
einer	PIS	ein
der	ART	d
allerbesten	ADJA	allergut
Bergführer	NN	Bergführer
aller	PIAT	alle
Zeiten	NN	Zeit
.	$.	.
<s lang="de" n="1-11">
Dann	ADV	dann
wandre	VVFIN	wandern
durch	APPR	durch
das	ART	d
Fextal	NN	unk
und	KON	und
trinke	VVFIN	trinken
seine	PPOSAT	sein
eigenartige	ADJA	eigenartig
stille	ADJA	still
Schönheit	NN	Schönheit
mit	APPR	mit
vollen	ADJA	voll
Zügen	NN	Zug
,	$,	,
vom	NE	vom
Wiesengrün	NE	Wiesengrün
und	KON	und
Blumenschmelz	NN	Blumenschmelz
bis	KON	bis
hinauf	ADV	hinauf
zu	APPR	zu
den	ART	d
weissen	ADJA	weiss
Höhen	NN	Höhe
des	ART	d
Chapütschin	NE	Chapütschin
,	$,	,
des	ART	d
