Year,Burn duration in seconds
1952,360
1953,480
1956,240
1958,480
1959,480
1961,420
1965,1200
1966,960
1967,360
1968,300
1969,600
1970,2400
1971,300
1972,480
1973,1560
1974,307
1975,1320
1976,660
1977,1620
1978,720
1979,1140
1980,1020
1981,850
1982,780
1983,1460
1984,1320
1985,1440
1986,840
1987,1020
1988,2400
1989,1440
1990,630
1991,720
1992,613
1993,1410
1994,1315
1995,351
1996,480
1997,450
1998,613
1999,1432
2000,1005
2001,1583
2002,744
2003,342
2004,702
2005,1072
2006,628
2007,729
2008,1561
2009,775
2010,774
2011,656
2012,727
2013,2111
2015,1239
2016,2614
2017,596
2018,1231
2019,1064
2020,
2021,777
2022,2279
2023,3420
