Species,Migration distance,Body mass,Brain mass,Size of cerebellum,Size of telencephalon,Size of optic lobe,Wing aspect ratio,Wing area
Accipiter gentilis,542,1100,7.674,1.088,4.617,0.837,5.841,0.193
Accipiter nisus,2938.1,260,3.081,0.499,1.593,0.44,5.891,0.093
Acrocephalus scirpaceus,3577,14,0.483,0.066,0.282,0.07,4.835,0.008
Aegithalos caudatus,26.1,7.5,0.456,0.035,0.283,0.059,4.463,0.007
Aegypius monachus,972.2,9000,24.808,2.812,17.936,1.02,,
Agapornis fischeri,0,42,1.997,0.121,1.492,0.12,,
Alauda arvensis,1107.4,39,1.176,0.087,0.865,0.115,5.43,0.024
Alcedo atthis,1302.2,35,0.909,0.117,0.505,0.141,6.06,0.013
Amazona versicolor,0,400,7.818,0.622,5.957,0.355,,
Anas clypeata,3426.8,737.5,4.015,0.49,2.7,0.245,,
Anas crecca,3374.1,300,2.832,0.366,1.739,0.205,7.156,0.05
Anas penelope,5231.8,700,4.05,0.455,2.649,0.28,,
Anas platyrhynchos,1934,1200,5.881,0.553,4.001,0.4,6.743,0.109
Anas querquedula,4795.9,330,2.73,0.29,1.82,0.17,6.41,0.054
Anas strepera,3611.2,970,4.55,0.53,3.08,0.28,,
Anser albifrons,3987.5,2374,8.71,1.115,5.905,0.485,8.155,0.211
Anser anser,2528.2,3250,11.316,1.232,7.914,0.638,,
Anser fabalis,2856.7,3026.5,11.465,1.365,8,0.59,,
Anthus pratensis,2339.2,16,0.533,0.064,0.316,0.074,4.727,0.012
Apus apus,7521.3,38,0.665,0.11,0.37,0.07,,
Aquila chrysaetos,1180.9,5300,18.69,1.959,12.355,1.33,5.985,0.662
Ara ararauna,0,850,18.693,1.307,15.383,0.544,,
Ara chloropterus,0,1430,24.343,1.922,19.879,0.756,,
Ardea cinerea,2547.5,1500,7.867,0.996,4.967,0.749,6.69,0.414
Asio otus,850.8,250,5.513,0.436,4.11,0.25,6.439,0.137
Athene noctua,0,165,3.89,0.3,3.019,0.202,5.447,0.061
Aythya ferina,3145.5,1235.5,6.225,0.71,4.29,0.33,7.76,0.066
Aythya fuligula,3896.3,957,4.76,0.535,3.22,0.295,7.723,0.059
Aythya marila,3640.2,1319,5.73,0.635,3.86,0.345,,
Balearica pavonina,0,3250,14.413,1.954,9.768,0.932,,
Bombycilla garrulus,1690.5,55.5,1.142,0.145,0.71,0.12,6.095,0.02
Botaurus stellaris,3992.3,900,5.207,0.724,3.294,0.487,6.39,0.243
Bubo bubo,0,2000,16.894,1.364,12.93,0.755,4.715,0.393
Bucephala clangula,4707.4,872.5,5.54,0.64,3.625,0.41,,
Burhinus oedicnemus,3290.5,440,3.54,0.478,2.081,0.37,,
Buteo buteo,4468.6,900,8.756,1.211,5.535,0.9,6.095,0.255
