   t_n,    f_n
0.0000, 4.5839
0.0045, 4.5450
0.0090, 4.5073
0.0135, 4.4709
0.0180, 4.4359
0.0225, 4.4022
0.0270, 4.3701
0.0315, 4.3394
0.0360, 4.3102
0.0405, 4.2827
0.0450, 4.2569
0.0495, 4.2327
0.0540, 4.2103
0.0585, 4.1896
0.0630, 4.1708
0.0675, 4.1537
0.0720, 4.1385
0.0765, 4.1252
0.0810, 4.1137
0.0855, 4.1041
0.0900, 4.0964
0.0945, 4.0906
0.0990, 4.0867
0.1036, 4.0847
0.1081, 4.0845
0.1126, 4.0862
0.1171, 4.0898
0.1216, 4.0952
0.1261, 4.1023
0.1306, 4.1113
0.1351, 4.1220
0.1396, 4.1344
0.1441, 4.1484
0.1486, 4.1641
0.1531, 4.1814
0.1576, 4.2002
0.1621, 4.2206
0.1666, 4.2423
0.1711, 4.2654
0.1756, 4.2899
0.1801, 4.3156
0.1846, 4.3426
0.1891, 4.3707
0.1936, 4.3998
0.1981, 4.4300
0.2026, 4.4611
0.2071, 4.4931
0.2116, 4.5258
0.2161, 4.5594
0.2206, 4.5935
0.2251, 4.6283
0.2296, 4.6635
0.2341, 4.6992
0.2386, 4.7352
0.2431, 4.7716
0.2476, 4.8081
0.2521, 4.8447
0.2566, 4.8814
0.2611, 4.9181
0.2656, 4.9547
0.2701, 4.9911
0.2746, 5.0273
0.2791, 5.0631
0.2836, 5.0986
0.2881, 5.1336
0.2926, 5.1681
0.2971, 5.2020
0.3017, 5.2352
0.3062, 5.2678
0.3107, 5.2995
0.3152, 5.3304
0.3197, 5.3605
0.3242, 5.3895
0.3287, 5.4176
0.3332, 5.4446
0.3377, 5.4706
0.3422, 5.4953
0.3467, 5.5189
0.3512, 5.5413
0.3557, 5.5624
0.3602, 5.5823
0.3647, 5.6008
0.3692, 5.6179
0.3737, 5.6337
0.3782, 5.6480
0.3827, 5.6610
0.3872, 5.6725
0.3917, 5.6825
0.3962, 5.6911
0.4007, 5.6982
0.4052, 5.7039
0.4097, 5.7081
0.4142, 5.7108
0.4187, 5.7121
0.4232, 5.7119
0.4277, 5.7102
0.4322, 5.7071
0.4367, 5.7026
0.4412, 5.6968
0.4457, 5.6895
0.4502, 5.6809
0.4547, 5.6709
0.4592, 5.6597
0.4637, 5.6472
0.4682, 5.6335
0.4727, 5.6186
0.4772, 5.6026
0.4817, 5.5854
0.4862, 5.5672
0.4907, 5.5479
0.4952, 5.5277
0.4997, 5.5066
0.5043, 5.4845
0.5088, 5.4617
0.5133, 5.4380
0.5178, 5.4137
0.5223, 5.3887
0.5268, 5.3630
0.5313, 5.3369
0.5358, 5.3102
0.5403, 5.2831
0.5448, 5.2556
0.5493, 5.2278
0.5538, 5.1997
0.5583, 5.1714
0.5628, 5.1430
0.5673, 5.1144
0.5718, 5.0859
0.5763, 5.0574
0.5808, 5.0289
0.5853, 5.0007
0.5898, 4.9726
0.5943, 4.9448
0.5988, 4.9172
0.6033, 4.8901
0.6078, 4.8634
0.6123, 4.8371
0.6168, 4.8114
0.6213, 4.7862
0.6258, 4.7616
0.6303, 4.7378
0.6348, 4.7146
0.6393, 4.6921
0.6438, 4.6705
0.6483, 4.6496
0.6528, 4.6297
0.6573, 4.6106
0.6618, 4.5924
0.6663, 4.5752
0.6708, 4.5590
0.6753, 4.5439
0.6798, 4.5297
0.6843, 4.5166
0.6888, 4.5046
0.6933, 4.4937
0.6978, 4.4839
0.7024, 4.4752
0.7069, 4.4676
0.7114, 4.4611
0.7159, 4.4559
0.7204, 4.4517
0.7249, 4.4487
0.7294, 4.4468
0.7339, 4.4461
0.7384, 4.4465
0.7429, 4.4481
0.7474, 4.4507
0.7519, 4.4544
0.7564, 4.4592
0.7609, 4.4651
0.7654, 4.4721
0.7699, 4.4800
0.7744, 4.4890
0.7789, 4.4989
0.7834, 4.5098
0.7879, 4.5215
0.7924, 4.5342
0.7969, 4.5478
0.8014, 4.5621
0.8059, 4.5773
0.8104, 4.5932
0.8149, 4.6098
0.8194, 4.6270
0.8239, 4.6450
0.8284, 4.6635
0.8329, 4.6825
0.8374, 4.7021
0.8419, 4.7221
0.8464, 4.7426
0.8509, 4.7634
0.8554, 4.7846
0.8599, 4.8060
0.8644, 4.8277
0.8689, 4.8496
0.8734, 4.8716
0.8779, 4.8937
0.8824, 4.9159
0.8869, 4.9381
0.8914, 4.9603
0.8959, 4.9824
0.9005, 5.0043
0.9050, 5.0261
0.9095, 5.0477
0.9140, 5.0691
0.9185, 5.0901
0.9230, 5.1108
0.9275, 5.1312
0.9320, 5.1511
0.9365, 5.1706
0.9410, 5.1896
0.9455, 5.2080
0.9500, 5.2259
0.9545, 5.2433
0.9590, 5.2600
0.9635, 5.2760
0.9680, 5.2914
0.9725, 5.3061
0.9770, 5.3200
0.9815, 5.3332
0.9860, 5.3456
0.9905, 5.3573
0.9950, 5.3681
0.9995, 5.3781
1.0040, 5.3873
1.0085, 5.3956
1.0130, 5.4030
1.0175, 5.4096
1.0220, 5.4153
1.0265, 5.4201
1.0310, 5.4240
1.0355, 5.4270
1.0400, 5.4292
1.0445, 5.4304
1.0490, 5.4308
1.0535, 5.4303
1.0580, 5.4289
1.0625, 5.4267
1.0670, 5.4236
1.0715, 5.4196
1.0760, 5.4149
1.0805, 5.4093
1.0850, 5.4030
1.0895, 5.3958
1.0940, 5.3879
1.0985, 5.3793
1.1031, 5.3700
1.1076, 5.3600
1.1121, 5.3493
1.1166, 5.3380
