i, y_i, x_i
0, 0.0, 0.0
1, 0.0126, 0.0126
2, 0.0251, 0.0251
3, 0.0377, 0.0377
4, 0.0502, 0.0503
5, 0.0628, 0.0628
6, 0.0753, 0.0754
7, 0.0879, 0.088
8, 0.1004, 0.1005
9, 0.1129, 0.1131
10, 0.1253, 0.1257
11, 0.1378, 0.1382
12, 0.1502, 0.1508
13, 0.1626, 0.1634
14, 0.175, 0.1759
15, 0.1874, 0.1885
16, 0.1997, 0.2011
17, 0.212, 0.2136
18, 0.2243, 0.2262
19, 0.2365, 0.2388
20, 0.2487, 0.2513
21, 0.2608, 0.2639
22, 0.273, 0.2765
23, 0.285, 0.289
24, 0.297, 0.3016
25, 0.309, 0.3142
26, 0.3209, 0.3267
27, 0.3328, 0.3393
28, 0.3446, 0.3519
29, 0.3564, 0.3644
30, 0.3681, 0.377
31, 0.3798, 0.3896
32, 0.3914, 0.4021
33, 0.4029, 0.4147
34, 0.4144, 0.4273
35, 0.4258, 0.4398
36, 0.4371, 0.4524
37, 0.4484, 0.465
38, 0.4596, 0.4775
39, 0.4707, 0.4901
40, 0.4818, 0.5027
41, 0.4927, 0.5152
42, 0.5036, 0.5278
43, 0.5144, 0.5404
44, 0.5252, 0.5529
45, 0.5358, 0.5655
46, 0.5464, 0.5781
47, 0.5569, 0.5906
48, 0.5673, 0.6032
49, 0.5776, 0.6158
50, 0.5878, 0.6283
51, 0.5979, 0.6409
52, 0.6079, 0.6535
53, 0.6179, 0.666
54, 0.6277, 0.6786
55, 0.6374, 0.6912
56, 0.6471, 0.7037
57, 0.6566, 0.7163
58, 0.666, 0.7288
59, 0.6753, 0.7414
60, 0.6845, 0.754
61, 0.6937, 0.7665
62, 0.7026, 0.7791
63, 0.7115, 0.7917
64, 0.7203, 0.8042
65, 0.729, 0.8168
66, 0.7375, 0.8294
67, 0.7459, 0.8419
68, 0.7543, 0.8545
69, 0.7624, 0.8671
70, 0.7705, 0.8796
71, 0.7785, 0.8922
72, 0.7863, 0.9048
73, 0.794, 0.9173
74, 0.8016, 0.9299
75, 0.809, 0.9425
76, 0.8163, 0.955
77, 0.8235, 0.9676
78, 0.8306, 0.9802
79, 0.8375, 0.9927
80, 0.8443, 1.0053
81, 0.851, 1.0179
82, 0.8575, 1.0304
83, 0.8639, 1.043
84, 0.8702, 1.0556
85, 0.8763, 1.0681
86, 0.8823, 1.0807
87, 0.8881, 1.0933
88, 0.8938, 1.1058
89, 0.8994, 1.1184
90, 0.9048, 1.131
91, 0.9101, 1.1435
92, 0.9152, 1.1561
93, 0.9202, 1.1687
94, 0.9251, 1.1812
95, 0.9298, 1.1938
96, 0.9343, 1.2064
97, 0.9387, 1.2189
98, 0.943, 1.2315
99, 0.9471, 1.2441
100, 0.9511, 1.2566
101, 0.9549, 1.2692
102, 0.9585, 1.2818
103, 0.962, 1.2943
104, 0.9654, 1.3069
105, 0.9686, 1.3195
106, 0.9716, 1.332
107, 0.9745, 1.3446
108, 0.9773, 1.3572
109, 0.9799, 1.3697
110, 0.9823, 1.3823
111, 0.9846, 1.3949
112, 0.9867, 1.4074
113, 0.9887, 1.42
114, 0.9905, 1.4326
115, 0.9921, 1.4451
116, 0.9936, 1.4577
117, 0.995, 1.4703
118, 0.9961, 1.4828
119, 0.9972, 1.4954
120, 0.998, 1.508
121, 0.9987, 1.5205
122, 0.9993, 1.5331
123, 0.9997, 1.5457
124, 0.9999, 1.5582
125, 1.0, 1.5708
126, 0.9999, 1.5834
127, 0.9997, 1.5959
128, 0.9993, 1.6085
129, 0.9987, 1.6211
130, 0.998, 1.6336
131, 0.9972, 1.6462
132, 0.9961, 1.6588
133, 0.995, 1.6713
134, 0.9936, 1.6839
135, 0.9921, 1.6965
136, 0.9905, 1.709
137, 0.9887, 1.7216
138, 0.9867, 1.7342
139, 0.9846, 1.7467
140, 0.9823, 1.7593
141, 0.9799, 1.7719
142, 0.9773, 1.7844
143, 0.9745, 1.797
144, 0.9716, 1.8096
145, 0.9686, 1.8221
146, 0.9654, 1.8347
147, 0.962, 1.8473
148, 0.9585, 1.8598
149, 0.9549, 1.8724
150, 0.9511, 1.885
151, 0.9471, 1.8975
152, 0.943, 1.9101
153, 0.9387, 1.9227
154, 0.9343, 1.9352
155, 0.9298, 1.9478
156, 0.9251, 1.9604
157, 0.9202, 1.9729
158, 0.9152, 1.9855
159, 0.9101, 1.9981
160, 0.9048, 2.0106
161, 0.8994, 2.0232
162, 0.8938, 2.0358
163, 0.8881, 2.0483
164, 0.8823, 2.0609
165, 0.8763, 2.0735
166, 0.8702, 2.086
167, 0.8639, 2.0986
168, 0.8575, 2.1112
169, 0.851, 2.1237
170, 0.8443, 2.1363
171, 0.8375, 2.1488
172, 0.8306, 2.1614
173, 0.8235, 2.174
174, 0.8163, 2.1865
175, 0.809, 2.1991
176, 0.8016, 2.2117
177, 0.794, 2.2242
178, 0.7863, 2.2368
179, 0.7785, 2.2494
180, 0.7705, 2.2619
181, 0.7624, 2.2745
182, 0.7543, 2.2871
183, 0.7459, 2.2996
184, 0.7375, 2.3122
185, 0.729, 2.3248
186, 0.7203, 2.3373
187, 0.7115, 2.3499
188, 0.7026, 2.3625
189, 0.6937, 2.375
190, 0.6845, 2.3876
191, 0.6753, 2.4002
192, 0.666, 2.4127
193, 0.6566, 2.4253
194, 0.6471, 2.4379
195, 0.6374, 2.4504
196, 0.6277, 2.463
197, 0.6179, 2.4756
198, 0.6079, 2.4881
199, 0.5979, 2.5007
200, 0.5878, 2.5133
201, 0.5776, 2.5258
202, 0.5673, 2.5384
203, 0.5569, 2.551
204, 0.5464, 2.5635
205, 0.5358, 2.5761
206, 0.5252, 2.5887
207, 0.5144, 2.6012
208, 0.5036, 2.6138
209, 0.4927, 2.6264
210, 0.4818, 2.6389
211, 0.4707, 2.6515
212, 0.4596, 2.6641
213, 0.4484, 2.6766
214, 0.4371, 2.6892
215, 0.4258, 2.7018
216, 0.4144, 2.7143
217, 0.4029, 2.7269
218, 0.3914, 2.7395
219, 0.3798, 2.752
220, 0.3681, 2.7646
221, 0.3564, 2.7772
222, 0.3446, 2.7897
223, 0.3328, 2.8023
224, 0.3209, 2.8149
225, 0.309, 2.8274
226, 0.297, 2.84
227, 0.285, 2.8526
228, 0.273, 2.8651
229, 0.2608, 2.8777
230, 0.2487, 2.8903
231, 0.2365, 2.9028
232, 0.2243, 2.9154
233, 0.212, 2.928
234, 0.1997, 2.9405
235, 0.1874, 2.9531
236, 0.175, 2.9657
237, 0.1626, 2.9782
238, 0.1502, 2.9908
239, 0.1378, 3.0034
240, 0.1253, 3.0159
241, 0.1129, 3.0285
242, 0.1004, 3.0411
243, 0.0879, 3.0536
244, 0.0753, 3.0662
245, 0.0628, 3.0788
246, 0.0502, 3.0913
247, 0.0377, 3.1039
248, 0.0251, 3.1165
249, 0.0126, 3.129
250, 0.0, 3.1416
251, -0.0126, 3.1542
252, -0.0251, 3.1667
253, -0.0377, 3.1793
254, -0.0502, 3.1919
255, -0.0628, 3.2044
256, -0.0753, 3.217
257, -0.0879, 3.2296
258, -0.1004, 3.2421
259, -0.1129, 3.2547
260, -0.1253, 3.2673
261, -0.1378, 3.2798
262, -0.1502, 3.2924
263, -0.1626, 3.305
264, -0.175, 3.3175
265, -0.1874, 3.3301
266, -0.1997, 3.3427
267, -0.212, 3.3552
268, -0.2243, 3.3678
269, -0.2365, 3.3804
270, -0.2487, 3.3929
271, -0.2608, 3.4055
272, -0.273, 3.4181
273, -0.285, 3.4306
274, -0.297, 3.4432
275, -0.309, 3.4558
276, -0.3209, 3.4683
277, -0.3328, 3.4809
278, -0.3446, 3.4935
279, -0.3564, 3.506
280, -0.3681, 3.5186
281, -0.3798, 3.5312
282, -0.3914, 3.5437
283, -0.4029, 3.5563
284, -0.4144, 3.5688
285, -0.4258, 3.5814
286, -0.4371, 3.594
287, -0.4484, 3.6065
288, -0.4596, 3.6191
289, -0.4707, 3.6317
290, -0.4818, 3.6442
291, -0.4927, 3.6568
292, -0.5036, 3.6694
293, -0.5144, 3.6819
294, -0.5252, 3.6945
295, -0.5358, 3.7071
296, -0.5464, 3.7196
297, -0.5569, 3.7322
298, -0.5673, 3.7448
299, -0.5776, 3.7573
300, -0.5878, 3.7699
301, -0.5979, 3.7825
302, -0.6079, 3.795
303, -0.6179, 3.8076
304, -0.6277, 3.8202
305, -0.6374, 3.8327
306, -0.6471, 3.8453
307, -0.6566, 3.8579
308, -0.666, 3.8704
309, -0.6753, 3.883
310, -0.6845, 3.8956
311, -0.6937, 3.9081
312, -0.7026, 3.9207
313, -0.7115, 3.9333
314, -0.7203, 3.9458
315, -0.729, 3.9584
316, -0.7375, 3.971
317, -0.7459, 3.9835
318, -0.7543, 3.9961
319, -0.7624, 4.0087
320, -0.7705, 4.0212
321, -0.7785, 4.0338
322, -0.7863, 4.0464
323, -0.794, 4.0589
324, -0.8016, 4.0715
325, -0.809, 4.0841
326, -0.8163, 4.0966
327, -0.8235, 4.1092
328, -0.8306, 4.1218
329, -0.8375, 4.1343
330, -0.8443, 4.1469
331, -0.851, 4.1595
332, -0.8575, 4.172
333, -0.8639, 4.1846
334, -0.8702, 4.1972
335, -0.8763, 4.2097
336, -0.8823, 4.2223
337, -0.8881, 4.2349
338, -0.8938, 4.2474
339, -0.8994, 4.26
340, -0.9048, 4.2726
341, -0.9101, 4.2851
342, -0.9152, 4.2977
343, -0.9202, 4.3103
344, -0.9251, 4.3228
345, -0.9298, 4.3354
346, -0.9343, 4.348
347, -0.9387, 4.3605
348, -0.943, 4.3731
349, -0.9471, 4.3857
350, -0.9511, 4.3982
351, -0.9549, 4.4108
352, -0.9585, 4.4234
353, -0.962, 4.4359
354, -0.9654, 4.4485
355, -0.9686, 4.4611
356, -0.9716, 4.4736
357, -0.9745, 4.4862
358, -0.9773, 4.4988
359, -0.9799, 4.5113
360, -0.9823, 4.5239
361, -0.9846, 4.5365
362, -0.9867, 4.549
363, -0.9887, 4.5616
364, -0.9905, 4.5742
365, -0.9921, 4.5867
366, -0.9936, 4.5993
367, -0.995, 4.6119
368, -0.9961, 4.6244
369, -0.9972, 4.637
370, -0.998, 4.6496
371, -0.9987, 4.6621
372, -0.9993, 4.6747
373, -0.9997, 4.6873
374, -0.9999, 4.6998
375, -1.0, 4.7124
376, -0.9999, 4.725
377, -0.9997, 4.7375
378, -0.9993, 4.7501
379, -0.9987, 4.7627
380, -0.998, 4.7752
381, -0.9972, 4.7878
382, -0.9961, 4.8004
383, -0.995, 4.8129
384, -0.9936, 4.8255
385, -0.9921, 4.8381
386, -0.9905, 4.8506
387, -0.9887, 4.8632
388, -0.9867, 4.8758
389, -0.9846, 4.8883
390, -0.9823, 4.9009
391, -0.9799, 4.9135
392, -0.9773, 4.926
393, -0.9745, 4.9386
394, -0.9716, 4.9512
395, -0.9686, 4.9637
396, -0.9654, 4.9763
397, -0.962, 4.9888
398, -0.9585, 5.0014
399, -0.9549, 5.014
400, -0.9511, 5.0265
401, -0.9471, 5.0391
402, -0.943, 5.0517
403, -0.9387, 5.0642
404, -0.9343, 5.0768
405, -0.9298, 5.0894
406, -0.9251, 5.1019
