Year,Wolf,Moose
1959,20,538
1960,22,564
1961,22,572
1962,23,579
1963,20,596
1964,26,620
1965,28,634
1966,26,661
1967,22,766
1968,22,848
1969,17,1041
1970,18,1045
1971,20,1183
1972,23,1243
1973,24,1215
1974,31,1203
1975,41,1139
1976,44,1070
1977,34,949
1978,40,845
1979,43,857
1980,50,788
1981,30,767
1982,14,780
1983,23,830
1984,24,927
1985,22,976
1986,20,1014
1987,16,1046
1988,12,1116
1989,12,1260
1990,15,1315
1991,12,1496
1992,12,1697
1993,13,1784
1994,17,2017
1995,16,2117
1996,22,2398
1997,24,900
1998,14,925
1999,25,997
2000,29,1031
2001,19,1120
2002,17,1100
2003,19,900
2004,29,750
2005,30,540
2006,30,450
2007,21,385
2008,23,650
2009,24,530
2010,19,510
2011,16,515
