  i,    x_i,    y_i
  0, 0.0000, 0.0000
  1, 0.0126, 0.0126
  2, 0.0251, 0.0251
  3, 0.0377, 0.0377
  4, 0.0503, 0.0502
  5, 0.0628, 0.0628
  6, 0.0754, 0.0753
  7, 0.0880, 0.0879
  8, 0.1005, 0.1004
  9, 0.1131, 0.1129
 10, 0.1257, 0.1253
 11, 0.1382, 0.1378
 12, 0.1508, 0.1502
 13, 0.1634, 0.1626
 14, 0.1759, 0.1750
 15, 0.1885, 0.1874
 16, 0.2011, 0.1997
 17, 0.2136, 0.2120
 18, 0.2262, 0.2243
 19, 0.2388, 0.2365
 20, 0.2513, 0.2487
 21, 0.2639, 0.2608
 22, 0.2765, 0.2730
 23, 0.2890, 0.2850
 24, 0.3016, 0.2970
 25, 0.3142, 0.3090
 26, 0.3267, 0.3209
 27, 0.3393, 0.3328
 28, 0.3519, 0.3446
 29, 0.3644, 0.3564
 30, 0.3770, 0.3681
 31, 0.3896, 0.3798
 32, 0.4021, 0.3914
 33, 0.4147, 0.4029
 34, 0.4273, 0.4144
 35, 0.4398, 0.4258
 36, 0.4524, 0.4371
 37, 0.4650, 0.4484
 38, 0.4775, 0.4596
 39, 0.4901, 0.4707
 40, 0.5027, 0.4818
 41, 0.5152, 0.4927
 42, 0.5278, 0.5036
 43, 0.5404, 0.5144
 44, 0.5529, 0.5252
 45, 0.5655, 0.5358
 46, 0.5781, 0.5464
 47, 0.5906, 0.5569
 48, 0.6032, 0.5673
 49, 0.6158, 0.5776
 50, 0.6283, 0.5878
 51, 0.6409, 0.5979
 52, 0.6535, 0.6079
 53, 0.6660, 0.6179
 54, 0.6786, 0.6277
 55, 0.6912, 0.6374
 56, 0.7037, 0.6471
 57, 0.7163, 0.6566
 58, 0.7288, 0.6660
 59, 0.7414, 0.6753
 60, 0.7540, 0.6845
 61, 0.7665, 0.6937
 62, 0.7791, 0.7026
 63, 0.7917, 0.7115
 64, 0.8042, 0.7203
 65, 0.8168, 0.7290
 66, 0.8294, 0.7375
 67, 0.8419, 0.7459
 68, 0.8545, 0.7543
 69, 0.8671, 0.7624
 70, 0.8796, 0.7705
 71, 0.8922, 0.7785
 72, 0.9048, 0.7863
 73, 0.9173, 0.7940
 74, 0.9299, 0.8016
 75, 0.9425, 0.8090
 76, 0.9550, 0.8163
 77, 0.9676, 0.8235
 78, 0.9802, 0.8306
 79, 0.9927, 0.8375
 80, 1.0053, 0.8443
 81, 1.0179, 0.8510
 82, 1.0304, 0.8575
 83, 1.0430, 0.8639
 84, 1.0556, 0.8702
 85, 1.0681, 0.8763
 86, 1.0807, 0.8823
 87, 1.0933, 0.8881
 88, 1.1058, 0.8938
 89, 1.1184, 0.8994
 90, 1.1310, 0.9048
 91, 1.1435, 0.9101
 92, 1.1561, 0.9152
 93, 1.1687, 0.9202
 94, 1.1812, 0.9251
 95, 1.1938, 0.9298
 96, 1.2064, 0.9343
 97, 1.2189, 0.9387
 98, 1.2315, 0.9430
 99, 1.2441, 0.9471
100, 1.2566, 0.9511
101, 1.2692, 0.9549
102, 1.2818, 0.9585
103, 1.2943, 0.9620
104, 1.3069, 0.9654
105, 1.3195, 0.9686
106, 1.3320, 0.9716
107, 1.3446, 0.9745
108, 1.3572, 0.9773
109, 1.3697, 0.9799
110, 1.3823, 0.9823
111, 1.3949, 0.9846
112, 1.4074, 0.9867
113, 1.4200, 0.9887
114, 1.4326, 0.9905
115, 1.4451, 0.9921
116, 1.4577, 0.9936
117, 1.4703, 0.9950
118, 1.4828, 0.9961
119, 1.4954, 0.9972
120, 1.5080, 0.9980
121, 1.5205, 0.9987
122, 1.5331, 0.9993
123, 1.5457, 0.9997
124, 1.5582, 0.9999
125, 1.5708, 1.0000
126, 1.5834, 0.9999
127, 1.5959, 0.9997
128, 1.6085, 0.9993
129, 1.6211, 0.9987
130, 1.6336, 0.9980
131, 1.6462, 0.9972
132, 1.6588, 0.9961
133, 1.6713, 0.9950
134, 1.6839, 0.9936
135, 1.6965, 0.9921
136, 1.7090, 0.9905
137, 1.7216, 0.9887
138, 1.7342, 0.9867
139, 1.7467, 0.9846
140, 1.7593, 0.9823
141, 1.7719, 0.9799
142, 1.7844, 0.9773
143, 1.7970, 0.9745
144, 1.8096, 0.9716
145, 1.8221, 0.9686
146, 1.8347, 0.9654
147, 1.8473, 0.9620
148, 1.8598, 0.9585
149, 1.8724, 0.9549
150, 1.8850, 0.9511
151, 1.8975, 0.9471
152, 1.9101, 0.9430
153, 1.9227, 0.9387
154, 1.9352, 0.9343
155, 1.9478, 0.9298
156, 1.9604, 0.9251
157, 1.9729, 0.9202
158, 1.9855, 0.9152
159, 1.9981, 0.9101
160, 2.0106, 0.9048
161, 2.0232, 0.8994
162, 2.0358, 0.8938
163, 2.0483, 0.8881
164, 2.0609, 0.8823
165, 2.0735, 0.8763
166, 2.0860, 0.8702
167, 2.0986, 0.8639
168, 2.1112, 0.8575
169, 2.1237, 0.8510
170, 2.1363, 0.8443
171, 2.1488, 0.8375
172, 2.1614, 0.8306
173, 2.1740, 0.8235
174, 2.1865, 0.8163
175, 2.1991, 0.8090
176, 2.2117, 0.8016
177, 2.2242, 0.7940
178, 2.2368, 0.7863
179, 2.2494, 0.7785
180, 2.2619, 0.7705
181, 2.2745, 0.7624
182, 2.2871, 0.7543
183, 2.2996, 0.7459
184, 2.3122, 0.7375
185, 2.3248, 0.7290
186, 2.3373, 0.7203
187, 2.3499, 0.7115
188, 2.3625, 0.7026
189, 2.3750, 0.6937
190, 2.3876, 0.6845
191, 2.4002, 0.6753
192, 2.4127, 0.6660
193, 2.4253, 0.6566
194, 2.4379, 0.6471
195, 2.4504, 0.6374
196, 2.4630, 0.6277
197, 2.4756, 0.6179
198, 2.4881, 0.6079
199, 2.5007, 0.5979
200, 2.5133, 0.5878
201, 2.5258, 0.5776
202, 2.5384, 0.5673
203, 2.5510, 0.5569
