x^1,x^2,x^3,x^4,x^5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,1.020304050607081034e-04,1.030610152128364783e-06,1.041020355685217041e-08,1.051535712813350671e-10
2.020202020202020374e-02,4.081216202428324135e-04,8.244881217026918266e-06,1.665632569096347266e-07,3.364914281002722147e-09
3.030303030303030387e-02,9.182736455463729169e-04,2.782647410746584576e-05,8.432264881050256066e-07,2.555231782136441242e-08
4.040404040404040747e-02,1.632486480971329654e-03,6.595904973621534613e-05,2.665012110554155626e-06,1.076772569920871087e-07
5.050505050505051108e-02,2.550760126517703005e-03,1.288262690160456216e-04,6.506377223032607529e-06,3.286049102541721290e-07
6.060606060606060774e-02,3.673094582185491667e-03,2.226117928597267661e-04,1.349162380968040971e-05,8.176741702836611975e-07
7.070707070707071829e-02,4.999489847974698462e-03,3.534992821800291918e-04,2.499489874000206872e-05,1.767316072525399149e-06
8.080808080808081495e-02,6.529945923885318616e-03,5.276723978897227690e-04,4.264019376886649001e-05,3.445672223746787478e-06
9.090909090909091161e-02,8.264462809917355601e-03,7.513148009015778016e-04,6.830134553650707657e-05,6.209213230591552262e-06
1.010101010101010222e-01,1.020304050607081202e-02,1.030610152128364973e-03,1.041020355685217205e-04,1.051535712813350813e-05
1.111111111111111188e-01,1.234567901234568006e-02,1.371742112482853557e-03,1.524157902758726114e-04,1.693508780843029242e-05
1.212121212121212155e-01,1.469237832874196667e-02,1.780894342877814129e-03,2.158659809548865553e-04,2.616557344907715832e-05
1.313131313131313260e-01,1.724313845525967184e-02,2.264250504226017480e-03,2.973258237872548589e-04,3.904278494176074261e-05
1.414141414141414366e-01,1.999795939189879385e-02,2.827994257440233535e-03,3.999183798400330996e-04,5.655411432081277278e-05
1.515151515151515194e-01,2.295684113865932227e-02,3.478309263433230700e-03,5.270165550656410710e-04,7.985099319176379288e-05
1.616161616161616299e-01,2.611978369554127447e-02,4.221379183117782152e-03,6.822431003018638402e-04,1.102615111598971993e-04
1.717171717171717404e-01,2.948678706254464696e-02,5.063387677406656733e-03,8.694706112718503114e-04,1.493030342588025990e-04
1.818181818181818232e-01,3.305785123966942241e-02,6.010518407212622413e-03,1.092821528584113225e-03,1.986948233789296724e-04
1.919191919191919338e-01,3.683297622691562856e-02,7.068955033448454106e-03,1.356668137732531653e-03,2.603706526961424702e-04
2.020202020202020443e-01,4.081216202428324807e-02,8.244881217026919784e-03,1.665632569096347528e-03,3.364914281002722601e-04
2.121212121212121271e-01,4.499540863177227401e-02,9.544480618860784818e-03,2.024586797940166726e-03,4.294578056236717282e-04
2.222222222222222376e-01,4.938271604938272025e-02,1.097393689986282846e-02,2.438652644413961783e-03,5.419228098697693573e-04
2.323232323232323482e-01,5.397408427711459372e-02,1.253943372094581607e-02,2.913201773553068634e-03,6.768044524416220705e-04
2.424242424242424310e-01,5.876951331496786668e-02,1.424715474302251303e-02,3.453855695278184885e-03,8.372983503704690663e-04
2.525252525252525415e-01,6.376900316294256688e-02,1.610328362700570032e-02,4.066485764395378483e-03,1.026890344544287553e-03
2.626262626262626521e-01,6.897255382103868737e-02,1.811400403380813984e-02,4.757213180596077742e-03,1.249369118136343763e-03
2.727272727272727626e-01,7.438016528925621429e-02,2.028549962434260737e-02,5.532408988457075683e-03,1.508838815033748150e-03
2.828282828282828731e-01,7.999183756759517538e-02,2.262395405952186828e-02,6.398694077440529593e-03,1.809731658266008729e-03
2.929292929292929282e-01,8.580757065605550127e-02,2.513555100025868447e-02,7.362939181893957998e-03,2.156820568433583454e-03
3.030303030303030387e-01,9.182736455463728908e-02,2.782647410746584560e-02,8.432264881050257135e-03,2.555231782136441372e-03
3.131313131313131493e-01,9.805121926334048332e-02,3.070290704205611357e-02,9.614041599027673204e-03,3.010457470402604693e-03
3.232323232323232598e-01,1.044791347821650979e-01,3.377103346494225722e-02,1.091588960482982144e-02,3.528368357116710378e-03
3.333333333333333703e-01,1.111111111111111327e-01,3.703703703703704886e-02,1.234567901234568527e-02,4.115226337448561755e-03
3.434343434343434809e-01,1.179471482501785878e-01,4.050710141925325386e-02,1.391152978034960498e-02,4.777697096281683167e-03
3.535353535353535914e-01,1.249872461993674494e-01,4.418741027250364800e-02,1.562181171250129341e-02,5.522862726641872451e-03
3.636363636363636465e-01,1.322314049586776896e-01,4.808414725770097931e-02,1.748514445734581160e-02,6.358234348125749516e-03
3.737373737373737570e-01,1.396796245281093918e-01,5.220349603575805825e-02,1.951039750831361913e-02,7.291764725329332245e-03
3.838383838383838675e-01,1.473319049076625142e-01,5.655164026758763285e-02,2.170669020372050645e-02,8.331860886276559047e-03
3.939393939393939781e-01,1.551882460973370292e-01,6.113476361410247195e-02,2.408339172676764520e-02,9.487396740847860860e-03
4.040404040404040886e-01,1.632486480971329923e-01,6.595904973621535827e-02,2.665012110554156044e-02,1.076772569920871232e-02
4.141414141414141992e-01,1.715131109070503479e-01,7.103068229483903984e-02,2.941674721301415496e-02,1.218269329023818556e-02
4.242424242424242542e-01,1.799816345270890960e-01,7.635584495088627854e-02,3.239338876704266762e-02,1.374264977995749530e-02
4.343434343434343647e-01,1.886542189572492922e-01,8.194072136526989181e-02,3.559041433036975316e-02,1.545846278995858039e-02
4.444444444444444753e-01,1.975308641975308810e-01,8.779149519890262765e-02,3.901844231062338852e-02,1.734152991583261944e-02
4.545454545454545858e-01,2.066115702479339178e-01,9.391435011269724797e-02,4.268834096031693531e-02,1.940379134559860885e-02
4.646464646464646964e-01,2.158963371084583749e-01,1.003154697675665286e-01,4.661122837684909814e-02,2.165774247813190626e-02
4.747474747474748069e-01,2.253851647791042245e-01,1.070010378244232313e-01,5.079847250250396629e-02,2.411644654159279463e-02
4.848484848484848619e-01,2.350780532598714667e-01,1.139772379441801042e-01,5.526169112445095816e-02,2.679354721185501012e-02
4.949494949494949725e-01,2.449750025507601570e-01,1.212502537877499786e-01,6.001275187474493927e-02,2.970328123093436690e-02
5.050505050505050830e-01,2.550760126517702675e-01,1.288262690160456025e-01,6.506377223032605572e-02,3.286049102541720168e-02
5.151515151515152491e-01,2.653810835629018539e-01,1.367114672899797656e-01,7.042711951301988682e-02,3.628063732488904375e-02
5.252525252525253041e-01,2.758902152841547495e-01,1.449120322704651187e-01,7.611541088953724388e-02,3.997981178036300043e-02
5.353535353535353591e-01,2.866034078155290099e-01,1.534341476184145348e-01,8.214151337147444776e-02,4.397474958270854162e-02
5.454545454545455252e-01,2.975206611570248572e-01,1.622839969947408589e-01,8.851854381531321092e-02,4.828284208107994080e-02
5.555555555555555802e-01,3.086419753086420137e-01,1.714677640603566866e-01,9.525986892242037374e-02,5.292214940134466056e-02
5.656565656565657463e-01,3.199673502703807015e-01,1.809916324761749462e-01,1.023791052390484735e-01,5.791141306451227933e-02
5.757575757575758013e-01,3.314967860422406432e-01,1.908617859031082609e-01,1.098901191563350643e-01,6.327006860516261322e-02
5.858585858585858563e-01,3.432302826242220051e-01,2.010844080020694757e-01,1.178070269103033280e-01,6.901825818987467054e-02
