     x_n,      y_n
0.000000, 1.050000
0.002000, 1.048914
0.004000, 1.045696
0.006000, 1.040466
0.008000, 1.033420
0.010000, 1.024818
0.012000, 1.014979
0.014000, 1.004265
0.016000, 0.993067
0.018000, 0.981786
0.020000, 0.970826
0.022000, 0.960566
0.024000, 0.951355
0.026000, 0.943490
0.028000, 0.937209
0.030000, 0.932682
0.032000, 0.929997
0.034000, 0.929167
0.036000, 0.930120
0.038000, 0.932709
0.040000, 0.936712
0.042000, 0.941846
0.044000, 0.947777
0.046000, 0.954129
0.048000, 0.960507
0.050000, 0.966507
0.052000, 0.971735
0.054000, 0.975820
0.056000, 0.978433
0.058000, 0.979299
0.060000, 0.978206
0.062000, 0.975014
0.064000, 0.969664
0.066000, 0.962178
0.068000, 0.952656
0.070000, 0.941275
0.072000, 0.928284
0.074000, 0.913987
0.076000, 0.898737
0.078000, 0.882920
0.080000, 0.866938
0.082000, 0.851195
0.084000, 0.836080
0.086000, 0.821950
0.088000, 0.809118
0.090000, 0.797839
0.092000, 0.788300
0.094000, 0.780612
0.096000, 0.774806
0.098000, 0.770834
0.100000, 0.768566
0.102000, 0.767800
0.104000, 0.768268
0.106000, 0.769647
0.108000, 0.771573
0.110000, 0.773653
0.112000, 0.775485
0.114000, 0.776671
0.116000, 0.776834
0.118000, 0.775635
0.120000, 0.772784
0.122000, 0.768052
0.124000, 0.761283
0.126000, 0.752398
0.128000, 0.741397
0.130000, 0.728362
0.132000, 0.713455
0.134000, 0.696905
0.136000, 0.679005
0.138000, 0.660098
0.140000, 0.640564
0.142000, 0.620802
0.144000, 0.601219
0.146000, 0.582208
0.148000, 0.564138
0.150000, 0.547334
0.152000, 0.532067
0.154000, 0.518543
0.156000, 0.506891
0.158000, 0.497166
0.160000, 0.489338
0.162000, 0.483298
0.164000, 0.478863
0.166000, 0.475779
0.168000, 0.473738
0.170000, 0.472385
0.172000, 0.471332
0.174000, 0.470180
0.176000, 0.468529
0.178000, 0.465994
0.180000, 0.462228
0.182000, 0.456925
0.184000, 0.449843
0.186000, 0.440806
0.188000, 0.429716
0.190000, 0.416554
0.192000, 0.401382
0.194000, 0.384342
0.196000, 0.365649
